duplicates_cnt
2
2
2
4
9
3
3
2
2
3
2
2
2
2
3
2
2
4
3
8
2
2
2
3
3
2
2
2
2
2
3
2
2
6
4
2
2
2
2
2
2
2
2
4
5
2
2
4
2
3
2
2
3
3
2
2
2
2
2
2
3
5
2
2
2
2
3
3
3
8
2
4
2
2
2
9
5
2
3
2
2
2
5
4
4
2
2
3
2
3
2
2
2
4
2
2
3
5
2
4
2
4
2
2
3
3
4
7
4
2
2
4
9
2
4
3
3
9
2
2
4
2
2
3
2
2
2
2
2
3
2
2
2
3
3
2
2
2
3
4
2
3
2
2
2
3
3
3
2
3
3
3
5
2
2
2
2
2
2
2
5
2
2
3
4
3
4
3
3
2
2
3
6
4
2
2
4
2
2
5
2
2
2
2
2
2
2
2
2
2
3
20
2
4
2
3
2
8
3
2
2
3
2
2
2
2
2
2
2
2
2
4
4
5
2
4
4
6
2
2
2
2
3
2
8
2
6
2
6
2
5
2
4
5
3
2
2
2
3
2
11
9
6
2
2
4
3
2
5
2
4
2
2
4
2
4
2
2
2
2
3
2
2
2
3
18
7
2
2
2
4
2
3
2
3
3
2
3
2
5
2
2
5
3
2
2
15
3
23
6
5
4
3
3
2
2
2
3
3
11
2
55
3
3
3
2
2
2
2
19
2
46
3
10
4
3
2
2
2
2
9
2
3
3
160
5
5
2
2
2
3
4
2
50
2
2
2
2
2
3
16
2
2
3
2
2
4
4
2
2
16
10
2
8
2
8
2
2
2
9
2
2
2
2
4
2
2
3
6
134
94
2
3
2
3
2
2
2
2
2
2
2
2
2
3
4
3
2
5
4
4
3
2
4
4
3
2
2
2
2
2
2
2
2
2
2
2
2
4
2
2
2
2
3
2
3
2
3
3
3
2
2
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
5
2
2
3
2
2
2
2
2
2
2
2
2
2
10
2
2
2
3
2
14
2
2
12
2
2
2
2
3
5
2
8
19
420
2
3
6
2
42
4
19
2
3
2
2
3
2
2
2
2
2
2
3
2
2
2
2
3
3
4
3
3
3
4
3
2
3
3
2
2
2
2
2
2
3
5
4
3
15
2
2
3
5
2
2
2
4
2
2
2
2
2
2
3
2
4
2
3
5
2
5
5
2
2
2
2
2
2
3
2
2
2
3
2
2
2
3
4
2
2
2
3
2
6
3
2
4
4
2
2
4
2
2
2
3
2
2
4
2
2
2
4
2
2
2
2
4
2
2
2
2
2
2
7
2
4
2
2
2
2
2
6
2
2
2
6
2
2
2
3
2
6
2
3
5
2
4
2
2
4
2
3
2
2
2
4
2
5
4
2
4
2
3
2
6
6
2
6
