cnt
2
2
2
2
2
3
2
2
4
2
2
2
3
2
2
2
5
2
2
2
3
2
2
3
2
2
3
2
3
2
5
2
3
2
3
2
2
2
2
2
3
2
2
2
71
2
3
2
2
2
2
2
2
2
4
2
2
4
2
2
2
2
2
2
2
2
2
4
2
2
4
2
2
2
2
2
2
2
2
2
2
2
4
2
3
2
4
4
2
2
3
2
2
2
2
2
2
2
3
2
2
4
2
2
2
2
2
4
2
2
2
2
2
2
4
2
2
2
2
2
4
2
2
2
2
2
2
4
4
2
4
2
2
3
2
2
4
2
2
2
2
2
2
2
3
2
2
2
2
2
2
2
3
2
2
2
3
3
2
2
2
2
2
2
2
2
2
2
2
2
4
3
3
2
2
2
2
2
2
2
3
2
3
3
2
2
2
2
2
5
2
2
2
2
6
2
2
2
2
7
2
2
2
2
2
2
3
2
3
2
2
2
2
2
2
2
16
2
3
4
2
2
2
2
3
3
2
2
5
2
2
4
2
2
2
2
2
3
2
3
4
3
2
8
2
2
2
4
2
3
9
2
5
2
3
2
2
2
5
2
3
4
3
2
3
2
2
2
2
2
2
2
3
2
4
2
2
2
2
3
2
2
8
2
2
2
2
2
2
2
2
2
2
2
5
2
3
2
2
3
2
2
2
2
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
6
2
2
2
2
2
3
9
4
2
2
2
2
2
2
2
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
3
2
2
2
2
3
2
6
2
2
2
2
4
2
2
2
2
2
3
2
2
3
3
4
3
2
2
2
3
2
2
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
3
2
6
2
2
3
2
2
2
2
4
5
2
2
2
2
2
3
2
2
2
3
2
3
2
2
27
4
2
2
2
3
2
2
2
2
3
2
3
2
2
2
2
2
2
2
2
2
2
2
2
3
2
2
2
2
2
2
2
2
2
2
2
2
2
3
2
2
2
2
2
3
4
2
2
2
2
2
2
3
4
2
2
2
2
2
2
2
2
2
2
4
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
4
2
2
3
2
2
3
3
11
2
2
2
2
3
2
2
2
4
2
2
2
2
2
5
2
2
2
2
3
2
2
2
2
2
2
2
2
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
3
2
2
2
2
3
2
2
2
2
3
2
2
2
7
2
2
2
2
2
2
3
5
2
2
2
2
2
5
2
2
2
2
2
4
3
2
2
2
2
2
3
2
2
2
3
2
2
2
2
4
2
2
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
